komentar,label,komentar_cleaned_p1,tokenized_text_p2,text_slang_p2,text_slang_str_p2,text_stopword_p2,text_stemmed_p2
mah do slot,0,mah do slot,"['mah', 'do', 'slot']","['mah', 'do', 'slot']",mah do slot,mah slot,mah slot
"berkat 𝘿e𝙒𝐴d𝑂ra melesat , penjual asongan bos ritel .",1,berkat dewadora melesat penjual asongan bos ritel,"['berkat', 'dewadora', 'melesat', 'penjual', 'asongan', 'bos', 'ritel']","['berkat', 'dewadora', 'melesat', 'penjual', 'asongan', 'bos', 'ritel']",berkat dewadora melesat penjual asongan bos ritel,berkat dewadora melesat penjual asongan bos ritel,berkat dewadora lesat jual asong bos ritel
"Aduhh, sayang sekali mobil baru hancur",0,aduhh sayang sekali mobil baru hancur,"['aduhh', 'sayang', 'sekali', 'mobil', 'baru', 'hancur']","['aduhh', 'sayang', 'sekali', 'mobil', 'baru', 'hancur']",aduhh sayang sekali mobil baru hancur,aduhh sayang mobil hancur,aduhh sayang mobil hancur
gue udah buktiin alexis 17 tuh kaleng-kaleng,1,gue udah buktiin alexis 17 tuh kaleng kaleng,"['gue', 'udah', 'buktiin', 'alexis', '17', 'tuh', 'kaleng', 'kaleng']","['saya', 'sudah', 'buktiin', 'alexis', '17', 'tuh', 'kaleng', 'kaleng']",saya sudah buktiin alexis 17 tuh kaleng kaleng,buktiin alexis 17 tuh kaleng kaleng,buktiin alexis 17 tuh kaleng kaleng
Jakpot besar bikin aku makin 5:52 bahagia tiap kali main di MANDALIKA-77-!,1,jakpot besar bikin aku makin 5 52 bahagia tiap kali main di mandalika 77,"['jakpot', 'besar', 'bikin', 'aku', 'makin', '5', '52', 'bahagia', 'tiap', 'kali', 'main', 'di', 'mandalika', '77']","['jakpot', 'besar', 'bikin', 'aku', 'makin', '5', '52', 'bahagia', 'tiap', 'kali', 'main', 'di', 'mandalika', '77']",jakpot besar bikin aku makin 5 52 bahagia tiap kali main di mandalika 77,jakpot bikin 5 52 bahagia kali main mandalika 77,jakpot bikin 5 52 bahagia kali main mandalika 77
udah coba 𝘼𝙇𝙀𝙓𝙄𝙎17 ? ? !,1,udah coba alexis17,"['udah', 'coba', 'alexis17']","['sudah', 'coba', 'alexis17']",sudah coba alexis17,coba alexis17,coba alexis17
15:27 apaan tuh sosok hitam,0,15 27 apaan tuh sosok hitam,"['15', '27', 'apaan', 'tuh', 'sosok', 'hitam']","['15', '27', 'apaan', 'tuh', 'sosok', 'hitam']",15 27 apaan tuh sosok hitam,15 27 tuh sosok hitam,15 27 tuh sosok hitam
11:34 dinginin stnk😂,0,11 34 dinginin stnk,"['11', '34', 'dinginin', 'stnk']","['11', '34', 'dinginin', 'stnk']",11 34 dinginin stnk,11 34 dinginin stnk,11 34 dinginin stnk
"Awal awal sih ragu yah, tapi kok lama kelamaan jadi senang main di  mandalika77  modal receehh doang lohhh..",1,awal awal sih ragu yah tapi kok lama kelamaan jadi senang main di mandalika77 modal receehh doang lohhh,"['awal', 'awal', 'sih', 'ragu', 'yah', 'tapi', 'kok', 'lama', 'kelamaan', 'jadi', 'senang', 'main', 'di', 'mandalika77', 'modal', 'receehh', 'doang', 'lohhh']","['awal', 'awal', 'sih', 'ragu', 'yah', 'tapi', 'kok', 'lama', 'kelamaan', 'jadi', 'senang', 'main', 'di', 'mandalika77', 'modal', 'receehh', 'doang', 'lohhh']",awal awal sih ragu yah tapi kok lama kelamaan jadi senang main di mandalika77 modal receehh doang lohhh,sih ragu yah senang main mandalika77 modal receehh doang lohhh,sih ragu yah senang main mandalika77 modal receehh doang lohhh
"Pen banget ke tengah mereka trs teriak ""KOCAK LU""",0,pen banget ke tengah mereka trs teriak kocak lu,"['pen', 'banget', 'ke', 'tengah', 'mereka', 'trs', 'teriak', 'kocak', 'lu']","['pen', 'banget', 'ke', 'tengah', 'mereka', 'trs', 'teriak', 'kocak', 'kamu']",pen banget ke tengah mereka trs teriak kocak kamu,pen banget trs teriak kocak,pen banget trs teriak kocak
