komentar,label
Makin yakin abis baca review lain tentang ✌✌𝐒𝐆𝐈𝟖𝟖.,1
Paling suka model H2 😍🔥,0
Mobilnya udah hancur 🥺,0
░𝙈𝘼𝙉𝙐𝙏88░benar2 bikin aku jadi sultan,1
Semoga lekas recover mobilnya mas Dipo,0
pantes tongkrongan maen alexis17,1
gua udah ga bisa bayangin hidup tanpa ALEXIS-17☯ sih,1
langsung percaya lihat hasilnya,1
orang bilang alexis17 tuh miracle banget !,1
Yapping mulu anjir kagak ada jawaban sistematis dan realistis,0
gue rela gak upgrade hp nabung alexis17 .,1
sekarang udah brp ya ya dislike 👎👎👎👎👎👎,0
Keren bngettttt,0
Diatas GD masi ada ASC monster 😅,0
Makantuh setengah jam,0
"pikir , kelewat mikir sampe lupa pu lau tujuh tujuh tujuh !",1
​kocakk emang itu caranya biar komenan judol ga diatas ​ @izurzuhri ,0
Rasanya seperti mendengar orang berkampanye 😅,0
❤ 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ❤,1
"dikit2 iphone, lu napa bro xD",0
INI SEORANG PRESIDEN 😂😂,0
"wah nanti jawaban beliau template, ""ya ndak tau kok tanya saya""",0
"Kesel gue pas kepala babi, malah bahas perang dunia ke 3, blunder",0
Busett cerahh banget 🚩𝐒𝐆𝐈𝟖𝟖🚩 encess sama koinya lagi ngasih mulu,1
"bro alexis17 , ngadain giveaway nih , hadiahnya motor sport terbaru",1
menang ! 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 bikin hidup !,1
Pesona ya laksana. Beli jb5 cuma nuruti mania yg koar2 di sosmed,0
"Baru jepe 2 kali, wede lancar banget",1
"makswin brusan gates , gg banget",1
Seru abis! Rasanya gak lengkap sehari tanpa 🔥⚡ALEXIS17⚡?🔥,1
"𝘈𝐻𝘔𝐀𝐷𝘛𝘖𝑇𝑂 bikin lupa masalah, hiburan yang hakiki!",1
emang gak se-terpercaya alexis17 sih .,1
gak pakai proses nya langsung wd,1
"sungguh ! 𝘿 о r 𝘈 𝟩 7 ketagihan berat , sulit berhenti !",1
Semangat garasi drift semoga cepat 3 jt,0
Kebanyakan kata LUMAYAN,0
aceh donggg,0
Buset 24 menit udah kalah aja mas Panji 🤣,0
Astagfirullahaladzim 😢😢,0
"Bangun tidur ku terus ngeslt, emang paten kali  mandalika77 nih belum apa2 udah maxwin dia, kirain cuma dalam mimpi doang bisa dapat maxwin.",1
VELG NYA CAKEPPPPP🤤,0
Truck ev blm ada ya,0
dikasi jp pas modal haha makasi𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖,1
"Baru tau,tapi Barusan gue ikutan dislike 😂",0
cobain langsung ketagihan puas,1
kebanggaan gua nih kalau di tongkrongan! ⭐ A L E X I S 1 7 ⭐Top markotop,1
"Ga tau mau komen apa, yg jelas ga ada bobot nya",0
"kocak banget lu Nji, wkwkwkwkwk",0
Fix gak nyesel! Bangga banget jadi bagian dari 🔥⚡ALEXIS17⚡?🔥,1
"sis , ngeh kalo 𝘼𝙇𝙀𝙓𝙄𝙎17 sekeren . gila .",1
"Nonton SILA dulu, baru saya kesini 😅",0
"buset tv segede gitu , main pes gawang gawang keliatan kalih",1
"Bang ,coba riview HP Blackview",0
Mas Amba kyny lebih tau realita di lapangan,0
Salfok di booth airbft 🤣,0
Ada namanya parts namanya flexibel gampang rusak,0
Semua orang bilang ALEXIS⭐17⭐ tuh blessing banget!,1
Udah cukup 😂,0
Iya lagi!! Lucu banget 😂😂😂😂,0
Ishowspeed pernah review juga,0
Nganggur pres wapres,0
"Belum beli aja, uda seneng banget..
Gimana klo uda munyain..",0
keren . gas mari kak weton88,1
"Namanya aja the elite, emg elite. Gaada yg norak kek pasar malem",0
main alexis17 suaranya,1
"Berkah rezeki hari ini berkat 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓,puji syukur!",1
nice link bagus mandalika77,1
"min video lu baguss , pilih 𝐒𝐆𝐈𝟖𝟖",1
capek bgt nemuin alexis17 trs,1
tirta cipeng ahok gas,0
Ampe merinding cuyy,0
​ manusia__biasa 😂😂😂😂 emang yang lain nggak,0
Setuju bngt..,0
emang ya alexis17 gampang menang,1
JOKOWI mulu disebut,0
bobroknya bawahan sama pemimpin dikupas tuntas,0
gue rela gak tidur ngikutin update terbaru alexis17 .,1
