Comment,comment_cleaned,label
Sekalinya upload.. komennya dispam judol. Emang monyeeettt!!!! 🥲🥲,sekalinya upload komennya dispam judol emang monyeeetttiiii,0
Awokwowkwowk,awokwowkwowk,0
Sampah emang bang 😂,sampah emang bang,0
Wkwkwk,wkwkwk,0
Wkwkk😂 dor satu2,wkwkk dor satu2,0
awikwok,awikwok,0
wkwkwk,wkwkwk,0
"Gtw komen apa, gw kasih like aja deh 👍",gtw komen apa gw kasih like aja deh,0
Semangat upload bg yang spam Judol anak hama emg,semangat upload bg yang spam judol anak hama emg,0
Wkwkw emng harus di basmi,wkwkw emng harus di basmi,0
"kita juga males bang, dimana2 lagi. EMANG HAMA",kita juga males bang dimana2 lagi emang hama,0
MAKANYAA RAJIN APLOT NYETT,makanyaa rajin aplot nyett,0
Makanye sering2 upload lah bang wkw,makanye sering2 upload lah bang wkw,0
Sering2 upload dong,sering2 upload dong,0
"bnyk judol skrng komen"" yutub",bnyk judol skrng komen yutub,0
Akhirnya upload gabut gak ada tontonan,akhirnya upload gabut gak ada tontonan,0
makanya sering upload 😂,makanya sering upload,0
GA TERIMAAA BANGG SOALNYA GUE SAMA ADEK GUE TIAP HARI NUNGGU LU UPLOADDD,ga terimaaa bangg soalnya gue sama adek gue tiap hari nunggu lu uploaddd,0
bang kok lu behitam banget,bang kok lu behitam banget,0
"Sering"" Uplod bang",sering uplod bang,0
tabah ketua emang lagi gelap,tabah ketua emang lagi gelap,0
Nah anying memang,nah anying memang,0
@rel_logicvkemaren ada project 3 hari suting outdoor mulu😂,arel logicvkemaren ada project 3 hari suting outdoor mulu,0
Waspada sosok entitas Dora😹,waspada sosok entitas dora,0
Meresah kan judol,meresah kan judol,0
"Mampus lu is, salahnya jarang upload",mampus lu is salahnya jarang upload,0
Bapaknya raha itu wkwkwk,bapaknya raha itu wkwkwk,0
"Udh santai Bae, pasti viwers lu  ga main judol😂",udh santai bae pasti viwers lu ga main judol,0
Lama g upload sekali upload ga lama,lama g upload sekali upload ga lama,0
Wkwk 😂 Langsung kebayang muka lu bg 🤣 ngomong kya gitu,wkwk langsung kebayang muka lu bg ngomong kya gitu,0
Wkwkw judol mulu nyet komennya😂,wkwkw judol mulu nyet komennya,0
Bang FB lu di hack ya?,bang fb lu di hack ya,0
Antek antek nya Meresahkan,antek antek nya meresahkan,0
Wkwkwk,wkwkwk,0
Alamakk,alamakk,0
Netpliknya kak 20jt aja,netpliknya kak 2ojt aja,0
sabar bang,sabar bang,0
"Gw bantu bg hapusin satu2,tapi tetap cokk masih ada🗿",gw bantu bg hapusin satu2 tapi tetap cokk masih ada,0
yee,yee,0
Udah miskin makin miskin yang ada mau jepe mah gawe ya😂,udah miskin makin miskin yang ada mau jepe mah gawe ya,1
Wkwk sabar bang dah gw bantu report,wkwk sabar bang dah gw bantu report,0
diblock kang,diblock kang,0
Rajin upload,rajin upload,0
Ju d0l ajah pake buzzer ngab🗿,ju dol ajah pake buzzer ngab,0
wkwkwkwkwkwkwkwkwkw,wkwkwkwkwkwkwkwkwkw,0
"Coba lihat video edukasi ferry irwandi ttg j*d*l , jgn pernah pin 📌 kata2 j*d*l",coba lihat video edukasi ferry irwandi ttg jdl jgn pernah pin kata2 jdl,0
Bang gue ada liat temen lu main judol,bang gue ada liat temen lu main judol,0
Emang monyet pinjol 😂😂😂😊,emang monyet pinjol,0
Di dora777 auto gak gacorrrrrr lu auto miskiuinnnnnn jangan di mainin mending nonton video channel gua nih INDOPPY,di dora777 auto gak gacorrrrrr lu auto miskiuinnnnnn jangan di mainin mending nonton video channel gua nih indoppy,1
"Namanya jg komen bot bang, jdinya g bs dihindarin",namanya jg komen bot bang jdinya g bs dihindarin,0
emang judol sialan... 😂,emang judol sialan,0
Bang komen judol itu hanya bot yg caper,bang komen judol itu hanya bot yg caper,0
Sampah emang bang😢,sampah emang bang,0
jarang upload dasar Monyeeeet! 🗿,jarang upload dasar monyeeeeti,0
Ncen asuuu og😂,ncen asuuu og,0
Sabar bang,sabar bang,0
Awokawoka,awokawoka,0
gimana bapaknya raha udah dibebasin bos judol dikamboja belum,gimana bapaknya raha udah dibebasin bos judol dikamboja belum,0
"Selipin di videonya "" koment judol anj*ng""",selipin di videonya koment judol anj ng,0
meresahkan emang,meresahkan emang,0
Minta di parodiin itu bang,minta di parodiin itu bang,0
Pake akun fake lg 😂,pake akun fake lg,0
Pinjol judol iklan hama,pinjol judol iklan hama,0
Akhir-Nya Upload.,akhir nya upload,0
monyett,monyett,0
ISLAM DIPAKAI UNTUK LARANG CASINO DI SAHKAN RAKYATNYA AJA UDAH JUDOLAN DI RUMAH😂 MATIKAN PEJABAR TERIMA UANG DARI JUDOL🎉,islam dipakai untuk larang casino di sahkan rakyatnya aja udah judolan di rumah matikan pejabar terima uang dari judol,1
Biasa bang emang otak tolol,biasa bang emang otak tolol,0
Hidup kamboja😂😂,hidup kamboja,0
Kan ada block keyword. Dipakai lah itu bang. Copy kata kunci judolnya terus masukin ke blocked spam keyword.,kan ada block keyword dipakai lah itu bang copy kata kunci judolnya terus masukin ke blocked spam keyword,0
aksowkwk,aksowkwk,0
Plot twist: ini orang yang ngegebukin Emak gua,plot twist ini orang yang ngegebukin emak gua,0
Ati2 di laporin ama bndar bang wkwkw,ati2 di laporin ama bndar bang wkwkw,0
di tiktok juga sama bg,di tiktok juga sama bg,0
Gmn lagi judul menjamur krn emg disupport pemerintah..😂,gmn lagi judul menjamur krn emg disupport pemerintah,0
Jodul kon... trol,jodul kon trol,0
Emang hama,emang hama,0
😂😂,,0
1:36  ibu nya asilnya Medan 🤭,1 36 ibu nya asilnya medan,0
trik trikan,trik trikan,0
😂 terlalu,terlalu,0
knapaa solo anj,knapaa solo anj,0
parah kau tapi gak apapa saya orang medan menerima,parah kau tapi gak apapa saya orang medan menerima,0
