S.No;Name (click to view profile);Date;Likes;Comment;(view source)
1;=HYPERLINK("http://www.youtube.com/@Antb.Official","@Antb.Official");"2024-09-30T13:42:18Z";253;"Halo sobat burung semua, jangan biarkan judi meracuni pikiran kalian, tetap waspada ❤❤";=HYPERLINK("https://www.youtube.com/watch?v=NM3VfRFGbwY&lc=UgxEXqL7vqgMOcu9PqF4AaABAg","view source")
2;=HYPERLINK("http://www.youtube.com/@ApriKurniawan-ql8vm","@ApriKurniawan-ql8vm");"2024-09-30T14:05:57Z";11;"Halo BG Ilham abay😊😊";=HYPERLINK("https://www.youtube.com/watch?v=NM3VfRFGbwY&lc=UgxEXqL7vqgMOcu9PqF4AaABAg.A90HTQY0WOBA90KAhRus4q","view source")
3;=HYPERLINK("http://www.youtube.com/@PrayogaSaputra-o2t","@PrayogaSaputra-o2t");"2024-09-30T14:07:52Z";4;"Iya bang coba bikin film yang champing bosku";=HYPERLINK("https://www.youtube.com/watch?v=NM3VfRFGbwY&lc=UgxEXqL7vqgMOcu9PqF4AaABAg.A90HTQY0WOBA90KOkTecKA","view source")
4;=HYPERLINK("http://www.youtube.com/@ApriKurniawan-ql8vm","@ApriKurniawan-ql8vm");"2024-09-30T14:11:03Z";2;"@PrayogaSaputra-o2t halo Prayoga salam kenal saya kamermen";=HYPERLINK("https://www.youtube.com/watch?v=NM3VfRFGbwY&lc=UgxEXqL7vqgMOcu9PqF4AaABAg.A90HTQY0WOBA90Kl--8kGk","view source")
5;=HYPERLINK("http://www.youtube.com/@ridho_siahaan","@ridho_siahaan");"2024-09-30T14:11:10Z";7;"Sumpah bang habis rungkad tadi awak,nonton ini salfok sama judul nya...kenak kali ah";=HYPERLINK("https://www.youtube.com/watch?v=NM3VfRFGbwY&lc=UgxEXqL7vqgMOcu9PqF4AaABAg.A90HTQY0WOBA90KlqZC6sV","view source")
6;=HYPERLINK("http://www.youtube.com/@saintlucasss13","@saintlucasss13");"2024-09-30T14:11:25Z";2;"Main Ke Bali sini Banggg";=HYPERLINK("https://www.youtube.com/watch?v=NM3VfRFGbwY&lc=UgxEXqL7vqgMOcu9PqF4AaABAg.A90HTQY0WOBA90KnfPQix8","view source")
7;=HYPERLINK("http://www.youtube.com/@ApriKurniawan-ql8vm","@ApriKurniawan-ql8vm");"2024-09-30T14:11:43Z";1;"@Antb.Official tolong di baca dulu aku capek";=HYPERLINK("https://www.youtube.com/watch?v=NM3VfRFGbwY&lc=UgxEXqL7vqgMOcu9PqF4AaABAg.A90HTQY0WOBA90Kpvb0rKQ","view source")
8;=HYPERLINK("http://www.youtube.com/@ApriKurniawan-ql8vm","@ApriKurniawan-ql8vm");"2024-09-30T14:14:43Z";3;"@saintlucasss13 ok terimakasih sudah menonton antb saintlucasss";=HYPERLINK("https://www.youtube.com/watch?v=NM3VfRFGbwY&lc=UgxEXqL7vqgMOcu9PqF4AaABAg.A90HTQY0WOBA90LAuepPml","view source")
9;=HYPERLINK("http://www.youtube.com/@saintlucasss13","@saintlucasss13");"2024-09-30T14:25:02Z";3;"@ApriKurniawan-ql8vm joko itu cewek apa cowok bang, Kok transgender gtu 🤣";=HYPERLINK("https://www.youtube.com/watch?v=NM3VfRFGbwY&lc=UgxEXqL7vqgMOcu9PqF4AaABAg.A90HTQY0WOBA90MMQJWQpM","view source")
10;=HYPERLINK("http://www.youtube.com/@ApriKurniawan-ql8vm","@ApriKurniawan-ql8vm");"2024-09-30T14:29:37Z";5;"@saintlucasss13 di cowok cuman dia pura pura jadi perempuan filem ini untuk menghibur kamu semua jangan lupa saskereb ya teman";=HYPERLINK("https://www.youtube.com/watch?v=NM3VfRFGbwY&lc=UgxEXqL7vqgMOcu9PqF4AaABAg.A90HTQY0WOBA90MszVkN8V","view source")
