S.No;Name (click to view profile);Date;Likes;Comment;(view source)
1;=HYPERLINK("http://www.youtube.com/@CntikBnget","@CntikBnget");"2026-02-01T09:31:32Z";0;"Tolol mata tolol 7juta,kok 77juta tolol";=HYPERLINK("https://www.youtube.com/watch?v=ADSbtNG4RGw&lc=Ugyzfb5ABYZvKGk3aqt4AaABAg","view source")
2;=HYPERLINK("http://www.youtube.com/@wkwkwkwkwkwk2-f4l","@wkwkwkwkwkwk2-f4l");"2025-12-28T19:12:15Z";0;"pergi aja randa udah ga lucu banyak kali gayanya, kayaknya pengen banget dia di pandang keras telor banyak gaya";=HYPERLINK("https://www.youtube.com/watch?v=ADSbtNG4RGw&lc=UgxU37RhQ-mvkfJcox14AaABAg","view source")
3;=HYPERLINK("http://www.youtube.com/@Riccy28","@Riccy28");"2025-12-07T06:25:49Z";0;"Randa GK cocok main di antb,mending amri";=HYPERLINK("https://www.youtube.com/watch?v=ADSbtNG4RGw&lc=UgzBb4j-5TZ5OXZ-yb14AaABAg","view source")
4;=HYPERLINK("http://www.youtube.com/@muhammadridwansyamsul4086","@muhammadridwansyamsul4086");"2025-12-02T04:02:45Z";0;"Kepling bodoh satpam tolo Tempat sembunyian na kecil duduk ih na lihat ko iya bodoh";=HYPERLINK("https://www.youtube.com/watch?v=ADSbtNG4RGw&lc=UgxIQPeTt4dPEDFoxQ54AaABAg","view source")
5;=HYPERLINK("http://www.youtube.com/@wahadbastavia2066","@wahadbastavia2066");"2025-12-01T00:25:59Z";0;"ntap";=HYPERLINK("https://www.youtube.com/watch?v=ADSbtNG4RGw&lc=UgzMqbJaKt3zeh7sGJt4AaABAg","view source")
6;=HYPERLINK("http://www.youtube.com/@sanesakangsantri5822","@sanesakangsantri5822");"2025-11-05T15:13:07Z";0;"Sahril Yasman Amri balikin lahh,Randa out aja garing";=HYPERLINK("https://www.youtube.com/watch?v=ADSbtNG4RGw&lc=UgxOm8d11345nAkAIoZ4AaABAg","view source")
7;=HYPERLINK("http://www.youtube.com/@wahyuchristian3874","@wahyuchristian3874");"2025-11-02T03:11:07Z";0;"Joko😂";=HYPERLINK("https://www.youtube.com/watch?v=ADSbtNG4RGw&lc=Ugw9N72gGk5f-rJRNmN4AaABAg","view source")
8;=HYPERLINK("http://www.youtube.com/@VFFHX","@VFFHX");"2025-10-23T10:24:05Z";0;"bukanny siran pake pertalite malah siram pake sirup marjan";=HYPERLINK("https://www.youtube.com/watch?v=ADSbtNG4RGw&lc=Ugx1nMRRt6uF93icQr14AaABAg","view source")
9;=HYPERLINK("http://www.youtube.com/@Dikasihcuan8899","@Dikasihcuan8899");"2025-09-13T23:46:30Z";0;"Cuma main di ⚡𝙐𝙇𝙏𝙄𝙈𝘼𝙎𝙇𝙊𝙏⚡ doang saldo auto masuk 50 jt boss 🤩😎";=HYPERLINK("https://www.youtube.com/watch?v=ADSbtNG4RGw&lc=Ugy_ahHSnMVPtMkfsSF4AaABAg","view source")
10;=HYPERLINK("http://www.youtube.com/@chandrasiregar7266","@chandrasiregar7266");"2025-09-13T18:13:45Z";0;"Joko sama abay kalo join senang kali aku wkwkw";=HYPERLINK("https://www.youtube.com/watch?v=ADSbtNG4RGw&lc=Ugz7esdFBQuClM0X-op4AaABAg","view source")
